# Scenario catalog. Pipe-separated (|):
#   proxy/scenario | description | paths | short | tier
# `paths` is a comma-separated list of URL paths exposed by the proxy on
# http://localhost:9090. Used by run-scenario.sh to build clickable links and
# by scripts/gen-readmes.sh to emit per-scenario README.md files.
# `short` is a one-line tag (≤60 chars) shown in run-scenario.sh's filter list.
# `tier` is `smoke` or `full`, and decides when CI runs the scenario:
#   smoke  every pull request and push to main, plus the weekly sweep
#   full   the weekly sweep and manual dispatch only
# The smoke tier is one scenario per distinct *mechanism* in a tree — rewrite
# direction, servlet mapping, load balancing, TLS, a transport that cannot
# upgrade — not a random sample. Running all 112 on every push cost ~125 jobs
# and five runner-hours per change; a `full` row is one whose breakage a
# `smoke` row in the same tree would almost certainly have caught too. When a
# scenario tests something no other row in its tree does, mark it `smoke`.
# Edit descriptions here; per-scenario READMEs are regenerated from this file.
apache-httpd/http/root-context | App at /, proxy at /. Baseline scenario using a single <Location /> block with upgrade=websocket. | / | App and proxy at /, baseline single <Location /> | smoke
apache-httpd/http/root-context-sse | App at /, proxy at /, PUSH over Server-Sent Events. The config has no WebSocket support at all, and the backend runs VAADIN_PUSH_TRANSPORT=SERVER_SENT_EVENTS with the fallback disabled, so push either rides plain HTTP or fails visibly. | / | SSE push through a proxy that cannot upgrade | smoke
apache-httpd/http/root-context-legacy | Same as root-context but using the pre-Apache 2.4.47 RewriteRule style to upgrade WebSocket connections, kept for comparison with older configs. | / | Pre-2.4.47 RewriteRule WebSocket upgrade style | full
apache-httpd/http/root-context-push-url | root-context with VAADIN_PUSH_URL=/VAADIN/push; needs an extra ws:// proxy block for the relocated PUSH endpoint. | / | root-context with PUSH at /VAADIN/push | full
apache-httpd/http/root-context-push-url-sse | root-context-sse with VAADIN_PUSH_URL=/VAADIN/push. Unlike the WebSocket sibling the relocated endpoint needs no proxy rule of its own: over SSE the catch-all already carries it, so the config is identical to root-context-sse. | / | SSE + relocated PUSH URL, no extra proxy rule | full
apache-httpd/http/custom-context | App on /app context, proxy preserves the same path so the backend sees the original URL unchanged. | /app/ | App on /app context, proxy preserves path | smoke
apache-httpd/http/custom-context-sse | App on /app context, proxy preserves the same path, PUSH over Server-Sent Events with no WebSocket support in the config. | /app/ | SSE, app on /app context, proxy preserves path | full
apache-httpd/http/custom-context-push-url | custom-context with VAADIN_PUSH_URL=/VAADIN/push; adds a dedicated WebSocket proxy rule for the relocated PUSH endpoint. | /app/ | custom-context with PUSH at /VAADIN/push | full
apache-httpd/http/root-to-custom-context | Proxy at /, app on /app context. The public URL stays at root and the proxy adds the /app prefix when forwarding to the backend's custom context. | / | Proxy at /, app on /app (proxy adds /app prefix) | full
apache-httpd/http/root-to-custom-context-sse | Proxy at /, app on /app context, PUSH over Server-Sent Events. The event stream and the separate client-to-server XHR POSTs both ride the same prefix-adding rule. | / | SSE, proxy at /, app on /app context | full
apache-httpd/http/root-to-custom-context-push-url | root-to-custom-context with VAADIN_PUSH_URL=/VAADIN/push; adds a ws:// proxy block for /VAADIN/push that maps to the backend's /app/VAADIN/push. | / | root-to-custom-context with PUSH at /VAADIN/push | full
apache-httpd/http/custom-to-root-context | Proxy at /app/, app at root /. The public URL adds an /app prefix that the proxy strips before forwarding to the backend root. | /app/ | Proxy at /app/, app at / (proxy strips /app prefix) | smoke
apache-httpd/http/custom-to-root-context-sse | Proxy at /app/, app at root /, PUSH over Server-Sent Events. The proxy strips the /app prefix before forwarding to the backend root. | /app/ | SSE, proxy at /app/, app at root / | full
apache-httpd/http/custom-to-root-context-push-url | custom-to-root-context with VAADIN_PUSH_URL=/VAADIN/push; adds a ws:// proxy block for /app/VAADIN/push that maps to the backend's /VAADIN/push. | /app/ | custom-to-root-context with PUSH at /VAADIN/push | full
apache-httpd/http/custom-to-root-context-servlet-mapping | Proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*. The proxy strips the /app prefix and forwards to the backend; /app/ui/HILLA and /app/ui/connect are rewritten to /HILLA and /connect on the backend (Hilla resources live at the context root, not under the Vaadin servlet mapping). The catch-all carries root-level static resources. | /app/ui/ | Proxy at /app/ui/, app at /, Vaadin servlet on /ui/* | full
apache-httpd/http/root-to-custom-context-servlet-mapping | Proxy at /ui/, app on /app context with VAADIN_URL_MAPPING=/ui/*. The public URL drops the /app prefix; the proxy prepends /app when forwarding to the backend. /ui/HILLA and /ui/connect are rewritten to /app/HILLA and /app/connect (Hilla resources live at the context root, not under the Vaadin servlet mapping). The catch-all carries root-level static resources. | /ui/ | Proxy at /ui/, app on /app, Vaadin servlet on /ui/* | full
